asset,variant,cost_per_side,observed_annualized_mean_difference,ci90_low,ci90_high,probability_positive,samples,block_days,seed
BTC-USD,V1-B1,0.006,0.008654249516801533,-0.02971199103900972,0.04720233708762052,0.6596,5000,30,20260727
BTC-USD,V1-S1,0.006,-0.0026995956740874737,-0.04114633123806615,0.04258226956135556,0.493,5000,30,20260727
