Date,EquityStrategy,EquityBuyHold,DailyReturnStrategy,DailyReturnBuyHold,EffectiveExposure
2016-02-04,1.0,1.0,,,0.0
2016-02-05,1.0,0.9910049228072888,-0.0,-0.008995077192711198,0.0
2016-02-06,1.0,0.9676538055104513,-0.0,-0.023563068920676167,0.0
2016-02-07,1.0,0.9729374468414135,0.0,0.00546025996164512,0.0
2016-02-08,1.0,0.9565710456455063,-0.0,-0.0168216376592758,0.0
2016-02-09,1.0,0.9605402201087657,0.0,0.004149377593360981,0.0
2016-02-10,1.0,0.9753859635557617,0.0,0.015455618761403889,0.0
2016-02-11,1.0,0.9748447124925901,-0.0,-0.0005549096290031752,0.0
2016-02-12,1.0,0.9846903270702854,0.0,0.010099674801046898,0.0
2016-02-13,1.0,1.0077579319054615,0.0,0.023426253108231876,0.0
2016-02-14,1.0,1.0479393798809247,0.0,0.039872122762148354,0.0
2016-02-15,0.9812095722964166,1.028248150725534,-0.018790427703583412,-0.018790427703583412,1.0
2016-02-16,1.0020413684547087,1.0500786102734607,0.021230730668003517,0.021230730668003517,1.0
2016-02-17,1.02117612336752,1.0701306734709657,0.019095773403367433,0.019095773403367433,1.0
2016-02-18,1.0359084089623454,1.0855692157014356,0.014426782273603056,0.014426782273603056,1.0
2016-02-19,1.034752453331366,1.084357844274337,-0.0011158859422112366,-0.0011158859422112366,1.0
2016-02-20,1.0759241496347673,1.1275032861671692,0.039788933257273174,0.039788933257273174,1.0
2016-02-21,1.078629577707273,1.130338410783783,0.002514515612856094,0.002514515612856094,1.0
2016-02-22,1.0761455028406999,1.1277352509085286,-0.0023029916089017943,-0.0023029916089017943,1.0
2016-02-23,1.0329078432819307,1.0824248047630094,-0.0401782653411038,-0.0401782653411038,1.0
2016-02-24,1.0426719791436094,1.09265702724297,0.009453056170678709,0.009453056170678709,1.0
2016-02-25,1.0416881871172439,1.091626072836929,-0.0009435297447751845,-0.0009435297447751845,1.0
2016-02-26,1.0596669863990757,1.1104667646073352,0.017259290739953803,0.017259290739953803,1.0
2016-02-27,1.0652500061487007,1.1163174308616202,0.005268654984333265,0.005268654984333265,1.0
2016-02-28,1.0667502889889084,1.1178896363308333,0.001408385666789913,0.001408385666789913,1.0
2016-02-29,1.0734154799675355,1.1248743524317637,0.006248126714776481,0.006248126714776481,1.0
2016-03-01,1.0651516269460641,1.116214335421016,-0.007698652735771305,-0.007698652735771305,1.0
2016-03-02,1.0339408249096147,1.0835073068893528,-0.02930174563591026,-0.02930174563591026,1.0
2016-03-03,1.0300302516048114,1.0794092631253382,-0.003782202240776411,-0.003782202240776411,1.0
2016-03-04,1.0018692048500955,1.0498981932524034,-0.027340019102196744,-0.027340019102196744,1.0
2016-03-05,0.9741508645072439,1.020851052862187,-0.02766662575181056,-0.02766662575181056,1.0
2016-03-06,0.9917607417791886,1.039305136730328,0.018077156130074767,0.018077156130074767,1.0
2016-03-07,1.0138222779704376,1.0624242892858062,0.022244816982442073,0.022244816982442073,1.0
2016-03-08,1.011289013502546,1.0597695816902497,-0.002498726377331839,-0.002498726377331839,1.0
2016-03-09,1.0152733712093267,1.0639449470347173,0.003939880344374647,0.003939880344374647,1.0
2016-03-10,1.0230945178189335,1.0721410345627465,0.007703488372093004,0.007703488372093004,1.0
2016-03-11,1.0314813448437004,1.0809299208742493,0.008197509495648791,0.008197509495648791,1.0
2016-03-12,1.0098133254629975,1.0582231500811876,-0.021006700207444107,-0.021006700207444107,1.0
2016-03-13,1.0145847167908708,1.0632232789504883,0.004725023137999829,0.004725023137999829,1.0
2016-03-14,1.0207334169556561,1.069666743988247,0.00606031222728598,0.00606031222728598,1.0
2016-03-15,1.0216926141813627,1.0706719245341376,0.0009397137487350271,0.0009397137487350271,1.0
2016-03-16,1.023315871024866,1.0723729993041058,0.0015887917960568654,0.0015887917960568654,1.0
2016-03-17,1.029071054379105,1.0784040825794479,0.005624053644819549,0.005624053644819549,1.0
2016-03-18,1.0075260090016978,1.0558261810871414,-0.02093640209364034,-0.02093640209364034,1.0
2016-03-19,1.0088787230379506,1.0572437433954482,0.0013426095447333086,0.0013426095447333086,1.0
2016-03-20,1.0115103667084786,1.060001546431609,0.0026084836665041244,0.0026084836665041244,1.0
2016-03-21,1.0133057871565958,1.0618830382226345,0.0017749896661560793,0.0017749896661560793,1.0
2016-03-22,1.0247669642637554,1.0738936570530169,0.011310679611650443,0.011310679611650443,1.0
2016-03-23,1.0269067119211006,1.0761359828861568,0.002088033408534473,0.002088033408534473,1.0
2016-03-24,1.0156422932192142,1.064331554936983,-0.010969271669101555,-0.010969271669101555,1.0
2016-03-25,1.0241520942472768,1.073249310549241,0.008378738346046744,0.008378738346046744,1.0
2016-03-26,1.0255294030841886,1.074692646717699,0.0013448284143031675,0.0013448284143031675,1.0
2016-03-27,1.0460168720332528,1.096162272223511,0.01997745641173232,0.01997745641173232,1.0
2016-03-28,1.0403600678816505,1.090234284388773,-0.005407947331295571,-0.005407947331295571,1.0
2016-03-29,1.0241029046459584,1.0731977628289389,-0.015626477541371142,-0.015626477541371142,1.0
2016-03-30,1.015248776408668,1.0639191731745663,-0.008645740771872412,-0.008645740771872412,1.0
2016-03-31,1.0232174918222292,1.0722699038635015,0.007849027350468551,0.007849027350468551,1.0
2016-04-01,1.0272756339309876,1.0765225907884224,0.003966060139893868,0.003966060139893868,1.0
2016-04-02,1.0328586536806126,1.0823732570427071,0.005434782608695565,0.005434782608695565,1.0
2016-04-03,1.0333751444944546,1.082914508105879,0.0005000595308966016,0.0005000595308966016,1.0
2016-04-04,1.031678103248974,1.0811361117554577,-0.0016422315308454172,-0.0016422315308454172,1.0
2016-04-05,1.0387860006394656,1.0885847573391068,0.006889646458626331,0.006889646458626331,1.0
2016-04-06,1.0365724685801427,1.0862651099255134,-0.002130883606402234,-0.002130883606402234,1.0
2016-04-07,1.0378759930150774,1.0876311245135184,0.0012575333364970298,0.0012575333364970298,1.0
2016-04-08,1.031702698049633,1.0811618856156087,-0.005948008246640879,-0.005948008246640879,1.0
2016-04-09,1.0316535084483147,1.0811103378953064,-4.7678077619961456e-05,-4.7678077619961456e-05,1.0
2016-04-10,1.0413438599080163,1.0912652387948143,0.009393029132694464,0.009393029132694464,1.0
2016-04-11,1.0426719791436099,1.09265702724297,0.0012753897024091465,0.0012753897024091465,1.0
2016-04-12,1.052165572198038,1.1026057372612696,0.009105062037080724,0.009105062037080724,1.0
2016-04-13,1.0467055264517087,1.0968839403077397,-0.005189340813464338,-0.005189340813464338,1.0
2016-04-14,1.048525541700485,1.0987912059589164,0.0017388035152028358,0.0017388035152028358,1.0
2016-04-15,1.0598637448043489,1.1106729554885435,0.01081347344717587,0.01081347344717587,1.0
2016-04-16,1.0659140657664974,1.117013325085698,0.0057085837607036005,0.0057085837607036005,1.0
2016-04-17,1.0600359084089628,1.1108533725096008,-0.005514663467085068,-0.005514663467085068,1.0
2016-04-18,1.0599621240069854,1.1107760509291478,-6.960556844537447e-05,-6.960556844537447e-05,1.0
2016-04-19,1.074940357608402,1.1264723317611278,0.014130913984732096,0.014130913984732096,1.0
2016-04-20,1.089451289997295,1.1416789092502384,0.013499290715233592,0.013499290715233592,1.0
2016-04-21,1.1122998598096367,1.1656228253305498,0.020972548311360084,0.020972548311360084,1.0
2016-04-22,1.1028554563565267,1.1557256630325525,-0.00849087893864009,-0.00849087893864009,1.0
2016-04-23,1.1207604712363812,1.1744890332225058,0.016235141945986964,0.016235141945986964,1.0
2016-04-24,1.1423301114144475,1.1970927085749632,0.01924553973095744,0.01924553973095744,1.0
2016-04-25,1.1465358223271607,1.2015000386607901,0.0036816948714637476,0.0036816948714637476,1.0
2016-04-26,1.1574067242185007,1.2128920848475475,0.00948151961730681,0.00948151961730681,1.0
2016-04-27,1.095231068152193,1.1477357663857315,-0.05371979855075537,-0.05371979855075537,1.0
2016-04-28,1.1108979561720655,1.1641537153019408,0.01430464171026924,0.01430464171026924,1.0
2016-04-29,1.1284586438426918,1.1825562514497796,0.01580765143464391,0.01580765143464391,1.0
2016-04-30,1.1166531395263042,1.1701847985772829,-0.010461618935530326,-0.010461618935530326,1.0
2016-05-01,1.12393320052141,1.1778138611819893,0.0065195365842916075,0.0065195365842916075,1.0
2016-05-02,1.0979610910253574,1.1505966648624966,-0.023108232307759602,-0.023108232307759602,1.0
2016-05-03,1.112201480607,1.1655197298899456,0.01296984902110121,0.01296984902110121,1.0
2016-05-04,1.1035195159743234,1.1564215572566303,-0.007806107781782701,-0.007806107781782701,1.0
2016-05-05,1.1067168400600118,1.1597721590762649,0.0028973878933762354,0.0028973878933762354,1.0
2016-05-06,1.1370422292727322,1.1915513286424908,0.027401217831903635,0.027401217831903635,1.0
2016-05-07,1.1360584372463667,1.1905203742364494,-0.0008652203067205377,-0.0008652203067205377,1.0
2016-05-08,1.1382227797043711,1.1927884739297405,0.001905133034573847,0.001905133034573847,1.0
2016-05-09,1.1415922673946735,1.1963194927704324,0.002960305970310495,0.002960305970310495,1.0
2016-05-10,1.1136033842445712,1.1669888399185544,-0.024517407790417223,-0.024517407790417223,1.0
2016-05-11,1.1175139575493744,1.1710868836825692,0.0035116392066787405,0.0035116392066787405,1.0
2016-05-12,1.1227034604884532,1.1765251681744375,0.004643792503906452,0.004643792503906452,1.0
2016-05-13,1.1263926805873243,1.1803912471970928,0.0032860147213460422,0.0032860147213460422,1.0
2016-05-14,1.1286554022479651,1.182762442330988,0.0020088213459101834,0.0020088213459101834,1.0
2016-05-15,1.1349762660173643,1.189386324389804,0.0056003486598388275,0.0056003486598388275,1.0
2016-05-16,1.1206866868344036,1.1744117116420527,-0.01259020087979712,-0.01259020087979712,1.0
2016-05-17,1.1170712511375098,1.1706229541998505,-0.0032260896282316764,-0.0032260896282316764,1.0
2016-05-18,1.1204407388278121,1.1741539730405424,0.0030163587925757795,0.0030163587925757795,1.0
2016-05-19,1.0781868712954084,1.1298744813010644,-0.037711827201685866,-0.037711827201685866,1.0
2016-05-20,1.0960672913746037,1.1486120776308666,0.01658378575664954,0.01658378575664954,1.0
2016-05-21,1.0976167638161296,1.150235830820382,0.0014136654325143105,0.0014136654325143105,1.0
2016-05-22,1.0882707395656561,1.1404417639629887,-0.008514833736667504,-0.008514833736667504,1.0
2016-05-23,1.0961164809759218,1.1486636253511688,0.007209365395046019,0.007209365395046019,1.0
2016-05-24,1.0993629946629284,1.1520657748911054,0.0029618327462024308,0.0029618327462024308,1.0
2016-05-25,1.1104306549595417,1.163664011959071,0.01006733931407866,0.01006733931407866,1.0
2016-05-26,1.1189896455889228,1.1726333152916313,0.007707811911670248,0.007707811911670248,1.0
2016-05-27,1.159079170663322,1.214644707337818,0.035826538013495224,0.035826538013495224,1.0
2016-05-28,1.286922944489535,1.3486172324028969,0.11029770619814538,0.11029770619814538,1.0
2016-05-29,1.2917681202193856,1.3536946828526508,0.003764930721452453,0.003764930721452453,1.0
2016-05-30,1.3097961091025356,1.372586922343359,0.013956056509653036,0.013956056509653036,1.0
2016-05-31,1.3068201382227798,1.3694682852650841,-0.0022720871279691135,-0.0022720871279691135,1.0
2016-06-01,1.315428318453479,1.3784891363179463,0.006587119358602678,0.006587119358602678,1.0
2016-06-02,1.3228805430531985,1.3862986159437098,0.00566524568095117,0.00566524568095117,1.0
2016-06-03,1.4049779876534099,1.4723317611278641,0.06205960548087819,0.06205960548087819,1.0
2016-06-04,1.417422956786935,1.4853733343642876,0.008857768052516368,0.008857768052516368,1.0
2016-06-05,1.414619149511793,1.4824351143070695,-0.001978102063125764,-0.001978102063125764,1.0
2016-06-06,1.443149118276396,1.51233279208227,0.020167950345115315,0.020167950345115315,1.0
2016-06-07,1.425785189011043,1.4941364468156397,-0.012031971641358497,-0.012031971641358497,1.0
2016-06-08,1.434393369241742,1.5031572978685017,0.006037501509375431,0.006037501509375431,1.0
2016-06-09,1.4202513588627363,1.4883373282816568,-0.009859227379503066,-0.009859227379503066,1.0
2016-06-10,1.4272608770505912,1.4956828784247016,0.004935406781422014,0.004935406781422014,1.0
2016-06-11,1.4990531001746228,1.5709167762055722,0.05030070134927889,0.05030070134927889,1.0
2016-06-12,1.6671831574805083,1.7471068841980464,0.11215750615258413,0.11215750615258413,1.0
2016-06-13,1.7364175213359894,1.8196603005232093,0.041527749092733046,0.041527749092733046,1.0
2016-06-14,1.6846208711478392,1.7653805510451301,-0.0298296058129488,-0.0298296058129488,1.0
2016-06-15,1.7186354804594306,1.801025799634011,0.020191254836119388,0.020191254836119388,1.0
2016-06-16,1.8932093755380108,1.9839686589860563,0.10157703425970976,0.10157703425970976,1.0
2016-06-17,1.8501684743845146,1.9388644037217453,-0.022734358761172357,-0.022734358761172357,1.0
2016-06-18,1.8667207752281163,1.956210211603392,0.00894637492356365,0.00894637492356365,1.0
2016-06-19,1.8907498954720965,1.9813912729709529,0.012872369859945332,0.012872369859945332,1.0
2016-06-20,1.7293096239454973,1.8122116549395602,-0.08538425516416048,-0.08538425516416048,1.0
2016-06-21,1.6420964608081845,1.7208175468439908,-0.05043235863010587,-0.05043235863010587,1.0
2016-06-22,1.4867556998450522,1.5580298461300548,-0.0945990474193451,-0.0945990474193451,1.0
2016-06-23,1.5521778695983663,1.6265883141318076,0.04400330851943757,0.04400330851943757,1.0
2016-06-24,1.647802454561105,1.7267970823990308,0.06160671842814125,0.06160671842814125,1.0
2016-06-25,1.6569763152069645,1.736410732235367,0.0055673303680707775,0.0055673303680707775,1.0
2016-06-26,1.570525590890085,1.6458156138044793,-0.05217378397233241,-0.05217378397233241,1.0
2016-06-27,1.6180181509628857,1.6955849377561276,0.03023991480831878,0.03023991480831878,1.0
2016-06-28,1.5948006591406567,1.6712544137735508,-0.014349339535166594,-0.014349339535166594,1.0
2016-06-29,1.572640743746771,1.6480321657774684,-0.013895100473451216,-0.013895100473451216,1.0
2016-06-30,1.6564352295924636,1.735843707312044,0.053282662412811765,0.053282662412811765,1.0
2016-07-01,1.66799478590226,1.7479574215830307,0.006978574292120232,0.006978574292120232,1.0
2016-07-02,1.7338104724661205,1.8169282713471997,0.03945796900573595,0.03945796900573595,1.0
2016-07-03,1.631987997737278,1.7102244903219153,-0.058727569331158413,-0.058727569331158413,1.0
2016-07-04,1.6773162153520742,1.7577257145802727,0.027774847411649484,0.027774847411649484,1.0
2016-07-05,1.647531911753855,1.7265135699373695,-0.017757118977096087,-0.017757118977096087,1.0
2016-07-06,1.6694704739418085,1.7495038531920923,0.013316016540522835,0.013316016540522835,1.0
2016-07-07,1.5789124179148528,1.6546045001159824,-0.05424358048881084,-0.05424358048881084,1.0
2016-07-08,1.6412848323864333,1.7199670094590067,0.03950340358583726,0.03950340358583726,1.0
2016-07-09,1.6173786861457484,1.6949148173922008,-0.014565507320216442,-0.014565507320216442,1.0
2016-07-10,1.6046631742049728,1.681589731694116,-0.00786180258816005,-0.00786180258816005,1.0
2016-07-11,1.601047738508079,1.6778009742519138,-0.0022530807430568567,-0.0022530807430568567,1.0
2016-07-12,1.639391032735679,1.7179824222273767,0.023948876292302135,0.023948876292302135,1.0
2016-07-13,1.6117956663961235,1.6890641511379159,-0.01683269323091685,-0.01683269323091685,1.0
2016-07-14,1.6273149856120412,1.7053274568932189,0.009628589739677063,0.009628589739677063,1.0
2016-07-15,1.6416537543963206,1.7203536173612721,0.00881130507065686,0.00881130507065686,1.0
2016-07-16,1.6388007575198604,1.7173638495837522,-0.0017378797866601792,-0.0017378797866601792,1.0
2016-07-17,1.6724464448215648,1.7526224902703678,0.020530675951494715,0.020530675951494715,1.0
2016-07-18,1.6613787845249515,1.741024253202402,-0.006617647058823506,-0.006617647058823506,1.0
2016-07-19,1.6576403748247621,1.7371066264594448,-0.002250185048112474,-0.002250185048112474,1.0
2016-07-20,1.6402764455594088,1.718910281192814,-0.010475088281551415,-0.010475088281551415,1.0
2016-07-21,1.641161858383138,1.7198381401582514,0.0005397948779464201,0.0005397948779464201,1.0
2016-07-22,1.6101478147519617,1.6873373025077965,-0.018897614194940626,-0.018897614194940626,1.0
2016-07-23,1.6171081433384984,1.6946313049305395,0.004322788580506165,0.004322788580506165,1.0
2016-07-24,1.6171081433384984,1.7036521559834017,0.0,0.005323193916349833,0.0
2016-07-25,1.6171081433384984,1.6953787468749193,-0.0,-0.004856278366112021,0.0
2016-07-26,1.6171081433384984,1.6857650970385833,-0.0,-0.005670502744036909,0.0
2016-07-27,1.6171081433384984,1.6942446970282738,0.0,0.0050301195608966065,0.0
2016-07-28,1.6171081433384984,1.694373566329029,0.0,7.606298014750656e-05,0.0
2016-07-29,1.6171081433384984,1.6933426119229877,-0.0,-0.0006084575600850961,0.0
2016-07-30,1.6171081433384984,1.6904301657259206,-0.0,-0.001719939117199365,0.0
2016-07-31,1.6171081433384984,1.6159437098894303,-0.0,-0.04406361016664884,0.0
2016-08-01,1.6171081433384984,1.5598340163406275,-0.0,-0.03472255450819017,0.0
2016-08-02,1.6171081433384984,1.3852676615376684,-0.0,-0.11191341705221414,0.0
2016-08-03,1.6171081433384984,1.4777700456197325,0.0,0.06677582004576998,0.0
2016-08-04,1.6171081433384984,1.5142142838732957,0.0,0.024661643644481535,0.0
2016-08-05,1.6171081433384984,1.50261604680533,-0.0,-0.007659574468085073,0.0
2016-08-06,1.6171081433384984,1.5250650789968814,0.0,0.0149399656946827,0.0
2016-08-07,1.6171081433384984,1.5339055130286863,0.0,0.005796758547261138,0.0
2016-08-08,1.6171081433384984,1.5244722802134076,-0.0,-0.006149813489263023,0.0
2016-08-09,1.6171081433384984,1.5115080285574372,-0.0,-0.008504091431662864,0.0
2016-08-10,1.6171081433384984,1.5333900358256658,0.0,0.014476937505328635,0.0
2016-08-11,1.6171081433384984,1.5152710121394881,-0.0,-0.011816317611860194,0.0
2016-08-12,1.6171081433384984,1.5148328565169205,-0.0,-0.00028915990542766057,0.0
2016-08-13,1.6171081433384984,1.5115080285574372,-0.0,-0.0021948480620681554,0.0
2016-08-14,1.6171081433384984,1.481971184824351,-0.0,-0.019541307869383684,0.0
2016-08-15,1.6171081433384984,1.463414005515606,-0.0,-0.012521956903598364,0.0
2016-08-16,1.6171081433384984,1.492358050465218,0.0,0.019778439211680432,0.0
2016-08-17,1.6171081433384984,1.4805793963761953,-0.0,-0.007892646195295394,0.0
2016-08-18,1.6171081433384984,1.4796515374107582,-0.0,-0.0006266863956828628,0.0
2016-08-19,1.6171081433384984,1.4785690352844143,-0.0,-0.000731592607431053,0.0
2016-08-20,1.6171081433384984,1.4997036006082631,0.0,0.014293932051528069,0.0
2016-08-21,1.6171081433384984,1.4982087167195028,-0.0,-0.0009967862237270086,0.0
2016-08-22,1.6171081433384984,1.5082862960385577,0.0,0.006726418827091685,0.0
2016-08-23,1.6171081433384984,1.501043841336117,-0.0,-0.0048017771701983625,0.0
2016-08-24,1.6171081433384984,1.4909404881569113,-0.0,-0.006730884802280235,0.0
2016-08-25,1.6171081433384984,1.4834918425732622,-0.0,-0.0049959375594239575,0.0
2016-08-26,1.6171081433384984,1.493053944689296,0.0,0.006445672191528473,0.0
2016-08-27,1.6171081433384984,1.4712750328616717,-0.0,-0.01458682179909876,0.0
2016-08-28,1.6171081433384984,1.4830536869506945,0.0,0.008005745918295837,0.0
2016-08-29,1.6171081433384984,1.477383437717467,-0.0,-0.0038233607340851794,0.0
2016-08-30,1.6171081433384984,1.481868089383747,0.0,0.00303553671429313,0.0
2016-08-31,1.6171081433384984,1.4765586741926338,-0.0,-0.003582920253935251,0.0
2016-09-01,1.6171081433384984,1.4768937343745971,0.0,0.00022691965298737848,0.0
2016-09-02,1.6171081433384984,1.4851155957627775,0.0,0.0055669959163731075,0.0
2016-09-03,1.6171081433384984,1.5487770303358332,0.0,0.042866316100032886,0.0
2016-09-04,1.6171081433384984,1.5771540503621226,0.0,0.018322211312842285,0.0
2016-09-05,1.6006442530701648,1.5610969354880282,-0.010181069420839184,-0.010181069420839184,1.0
2016-09-06,1.6199358098853873,1.5799118533982834,0.012052370024269843,0.012052370024269843,1.0
2016-09-07,1.6258025573004278,1.5856336503518131,0.0036215925219009737,0.0036215925219009737,1.0
2016-09-08,1.6595231415418308,1.6185210959045337,0.020740885226183003,0.020740885226183003,1.0
2016-09-09,1.6439313353487057,1.6033145184154232,-0.009395353281207663,-0.009395353281207663,1.0
2016-09-10,1.6483446093050647,1.6076187530606458,0.002684585336055312,0.002684585336055312,1.0
2016-09-11,1.606590280855679,1.566896054022011,-0.02533106743194269,-0.02533106743194269,1.0
2016-09-12,1.6034190660367382,1.5638031908038867,-0.0019738790012172602,-0.0019738790012172602,1.0
2016-09-13,1.6084137293765697,1.5686744503724321,0.003115008075946779,0.003115008075946779,1.0
2016-09-14,1.6078851935734129,1.5681589731694114,-0.0003286068711697565,-0.0003286068711697565,1.0
2016-09-15,1.5999835833162193,1.5604525889842522,-0.00491428759265633,-0.00491428759265633,1.0
2016-09-16,1.606563854065521,1.5668702801618597,0.004112711416490278,0.004112711416490278,1.0
2016-09-17,1.6065374272753632,1.5668445063017087,-1.6449262250528562e-05,-1.6449262250528562e-05,1.0
2016-09-18,1.6157339502502912,1.5758138096342689,0.005724437425977058,0.005724437425977058,1.0
2016-09-19,1.6083344490060965,1.568597128791979,-0.0045796532548249,-0.0045796532548249,1.0
2016-09-20,1.6004064119587447,1.5608649707466689,-0.004929346040091986,-0.004929346040091986,1.0
2016-09-21,1.577679372423003,1.5386994510167789,-0.014200792602377832,-0.014200792602377832,1.0
2016-09-22,1.5755916560005339,1.536663316064847,-0.0013232830820769648,-0.0013232830820769648,1.0
2016-09-23,1.5934297393570755,1.5540606716667955,0.011321514231562801,0.011321514231562801,1.0
2016-09-24,1.5953324682484398,1.55591638959767,0.0011941090619609351,0.0011941090619609351,1.0
2016-09-25,1.590020683426714,1.550735843707312,-0.003329578584680637,-0.003329578584680637,1.0
2016-09-26,1.6043175769021054,1.5646795020490218,0.008991639935512996,0.008991639935512996,1.0
2016-09-27,1.6006971066504814,1.5611484832083302,-0.0022567042234961088,-0.0022567042234961088,1.0
2016-09-28,1.5989265117099059,1.5594216345782106,-0.0011061399019334228,-0.0011061399019334228,1.0
2016-09-29,1.6014370567749008,1.561870151292559,0.0015701441227027324,0.0015701441227027324,1.0
2016-09-30,1.6093650938222526,1.5696023093378695,0.00495057674219046,0.00495057674219046,1.0
2016-10-01,1.6269653360673735,1.5867677001984586,0.010936140166505126,0.010936140166505126,1.0
2016-10-02,1.6183766292660757,1.5783911956493724,-0.0052789734427027835,-0.0052789734427027835,1.0
2016-10-03,1.6199358098853884,1.5799118533982834,0.0009634225996082435,0.0009634225996082435,1.0
2016-10-04,1.6129327104935611,1.5730817804582593,-0.0043230721545212125,-0.0043230721545212125,1.0
2016-10-05,1.6203850653180718,1.5803500090208509,0.004620375528394005,0.004620375528394005,1.0
2016-10-06,1.6170024361778683,1.5770509549215186,-0.0020875464805271138,-0.0020875464805271138,1.0
