Data,Open,High,Low,Close,BTC-USD,SMA50,SMA200,RSI,ATR,Volume,VolumeAvg20,Azione,Livello_Rischio
2016-02-17,407.41,420.13,405.69,415.2,415.2,402.5622,328.62385,61.24245485493985,14.277335645831364,8707.1340027,7338.296763674999,ACQUISTA,MEDIO
2016-02-18,415.18,423.2,415.01,421.19,421.19,402.427,329.31669999999997,63.365687141953835,13.84252595684341,6518.6376118,7058.963122420499,MANTIENI STATO ATTUALE,MEDIO
2016-02-19,421.18,422.0,416.0,420.72,420.72,402.23439999999994,330.01555,63.07371234830537,13.282345531354595,5800.21753183,7141.2591778920005,MANTIENI STATO ATTUALE,MEDIO
2016-02-20,420.72,444.03,420.09,437.46,437.46,402.27039999999994,330.7753,68.61982679159381,14.043606564829267,9368.59512888,7334.3500936850005,ACQUISTA,MEDIO
2016-02-21,438.04,448.7,426.01,438.56,438.56,402.3336,331.55425,68.94984572449198,14.66120609591289,7111.14458641,7293.3458615445,MANTIENI STATO ATTUALE,MEDIO
2016-02-22,438.56,439.0,430.95,437.55,437.55,402.4464,332.34375,68.24020712906083,14.188977089061972,5131.79988328,7207.124947809,MANTIENI STATO ATTUALE,MEDIO
2016-02-23,437.45,440.9,414.16,419.97,419.97,402.1688,333.0439,57.204156263027684,15.085478725557541,9159.03224463,7307.6787313765,ACQUISTA,MEDIO
2016-02-24,420.32,425.6,410.0,423.94,423.94,401.98079999999993,333.8535,58.823643722939046,15.122230245160576,7232.28236528,7224.904988020501,ACQUISTA,MEDIO
2016-02-25,423.87,426.44,418.6,423.54,423.54,401.8342,334.63305,58.583095319440936,14.60207094193482,6049.81811526,7155.199427171499,MANTIENI STATO ATTUALE,MEDIO
2016-02-26,423.51,430.85,419.53,430.85,430.85,401.26980000000003,335.46155,61.668081226945226,14.367637303225193,6782.03746528,7180.468063571,MANTIENI STATO ATTUALE,MEDIO
2016-02-27,430.84,434.97,430.14,433.12,433.12,400.84340000000003,336.2672,62.599711645515484,13.686377495851968,5520.65526894,7248.275371452501,MANTIENI STATO ATTUALE,MEDIO
2016-02-28,433.09,436.07,423.0,433.73,433.73,400.5104,337.10114999999996,62.86092946079499,13.642350531862542,5149.93009024,7151.061447076,MANTIENI STATO ATTUALE,MEDIO
2016-02-29,433.73,442.0,431.13,436.44,436.44,400.23939999999993,337.96,64.06183240924895,13.44432549387236,7578.8900694,7108.776240171001,MANTIENI STATO ATTUALE,MEDIO
2016-03-01,436.41,437.78,427.5,433.08,433.08,399.91720000000004,338.79455,61.41044145841159,13.218302244310049,7580.23306278,7000.9860520725,ACQUISTA,MEDIO
2016-03-02,433.03,435.36,418.36,420.39,420.39,399.64480000000003,339.58420000000007,52.56223470732796,13.488423512573616,7437.60843525,6852.213288042,MANTIENI STATO ATTUALE,MEDIO
2016-03-03,420.44,422.8,408.63,418.8,418.8,399.3654,340.38219999999995,51.55982636043118,13.53710754738979,11833.72087093,7135.78845042,MANTIENI STATO ATTUALE,MEDIO
2016-03-04,418.76,422.21,405.5,407.35,407.35,398.9118,341.13239999999996,44.916710301183876,13.763742722576232,8961.10957184,7284.901105426501,MANTIENI STATO ATTUALE,BASSO
2016-03-05,407.38,408.83,381.09,396.08,396.08,399.6828,342.00285,39.51943868909003,14.762046813820788,14903.33778457,7652.2052521415,MANTIENI STATO ATTUALE,BASSO
2016-03-06,396.13,409.27,385.01,403.24,403.24,399.97360000000003,342.88235000000003,44.11399118055798,15.440472041405018,7676.29322299,7707.595644149001,MANTIENI STATO ATTUALE,BASSO
2016-03-07,403.24,418.74,395.0,412.21,412.21,400.6486,343.76559999999995,49.30939146135236,16.033295467018945,9910.74424239,7920.661077733998,MANTIENI STATO ATTUALE,BASSO
2016-03-08,412.21,416.33,407.4,411.18,411.18,401.17440000000005,344.65725000000003,48.748975014441235,15.525917219374735,7501.47649557,7860.3782023775,MANTIENI STATO ATTUALE,BASSO
2016-03-09,411.18,414.0,408.75,412.8,412.8,401.925,345.56549999999993,49.71695258244289,14.79192313227654,5399.36136204,7804.414389889501,MANTIENI STATO ATTUALE,BASSO
2016-03-10,412.64,416.52,410.71,415.98,415.98,401.87379999999996,346.49935000000005,51.64749139505306,14.15035719425679,7909.17586749,7909.8623066725,MANTIENI STATO ATTUALE,MEDIO
2016-03-11,415.98,421.0,414.97,419.39,419.39,402.07399999999996,347.5405,53.70029369460036,13.570331680381305,7041.45814304,7793.5054573805,MANTIENI STATO ATTUALE,MEDIO
2016-03-12,419.48,421.3,406.52,410.58,410.58,402.62760000000003,348.4747500000001,48.027180851364434,13.656736560354071,6897.105099,7782.8034830100005,MANTIENI STATO ATTUALE,BASSO
2016-03-13,410.56,416.38,410.01,412.52,412.52,403.12800000000004,349.40329999999994,49.29741951938637,13.136255377471638,4663.32879725,7759.3799287085,MANTIENI STATO ATTUALE,BASSO
2016-03-14,412.51,415.84,411.61,415.02,415.02,403.36740000000003,350.3494,50.960739961251086,12.500094279080805,6672.7126524,7635.063949096999,MANTIENI STATO ATTUALE,BASSO
2016-03-15,415.02,416.94,412.48,415.41,415.41,403.8476,351.2687,51.22952933190731,11.925801830575033,7355.07959993,7641.203810829499,MANTIENI STATO ATTUALE,BASSO
2016-03-16,415.41,416.39,413.0,416.07,416.07,404.3382,352.19599999999997,51.71189056448457,11.316101699819672,6274.8088109,7652.4533456115,MANTIENI STATO ATTUALE,BASSO
2016-03-17,416.06,419.75,415.7,418.41,418.41,404.8106,353.1411,53.46906093661821,10.797094435546839,6108.4432848,7618.7736365875,MANTIENI STATO ATTUALE,BASSO
2016-03-18,418.42,418.66,399.21,409.65,409.65,405.4114,354.0356,46.62841304406958,11.415159118722068,8597.5867638,7772.6202113305,MANTIENI STATO ATTUALE,BASSO
2016-03-19,409.66,411.0,404.72,410.2,410.2,406.0418,354.94550000000004,47.08614094183124,11.048362038813346,4840.13357914,7757.130385775499,MANTIENI STATO ATTUALE,BASSO
2016-03-20,410.09,415.34,409.36,411.27,411.27,406.69800000000004,355.852,48.02012247602693,10.686336178898104,4726.10717472,7614.4912410415,MANTIENI STATO ATTUALE,BASSO
2016-03-21,411.25,412.13,406.89,412.0,412.0,407.579,356.77574999999996,48.68559770465739,10.297312166119669,6020.51810823,7536.505493314,MANTIENI STATO ATTUALE,BASSO
2016-03-22,411.98,417.79,411.0,416.66,416.66,408.4856,357.7021,52.836569379721496,10.046789868539694,6124.69185606,7470.8596643545,MANTIENI STATO ATTUALE,BASSO
2016-03-23,416.66,418.99,413.95,417.53,417.53,409.3776,358.60970000000003,53.59136147349533,9.68916202078686,5506.91945281,7154.5195934485,MANTIENI STATO ATTUALE,BASSO
2016-03-24,417.53,417.72,410.0,412.95,412.95,410.25919999999996,359.46799999999996,49.133462388456174,9.548507590730658,5064.58936525,6959.693583119,MANTIENI STATO ATTUALE,BASSO
2016-03-25,412.86,416.87,411.0,416.41,416.41,410.8276,360.3435,52.357675151826115,9.285757048535613,4598.6610383,6444.4597458055,MANTIENI STATO ATTUALE,BASSO
2016-03-26,416.42,417.77,414.37,416.97,416.97,411.477,361.20765,52.878281249120086,8.865345830783069,3641.00285678,6242.695227495,MANTIENI STATO ATTUALE,BASSO
2016-03-27,416.96,426.5,416.35,425.3,425.3,412.4742,362.1404,59.89805890754617,8.95710684286999,4658.09803054,5980.0629169025,MANTIENI STATO ATTUALE,BASSO
2016-03-28,425.29,425.36,419.63,423.0,423.0,413.3844,363.0628,57.35732804172201,8.72659921123642,5717.86007067,5890.8820956575,MANTIENI STATO ATTUALE,BASSO
2016-03-29,422.92,424.62,407.75,416.39,416.39,414.28939999999994,363.94025,50.70118926392476,9.308270696148105,7361.85527519,5989.006791315,MANTIENI STATO ATTUALE,BASSO
2016-03-30,416.4,416.41,407.56,412.79,412.79,415.0916,364.82169999999996,47.47016706908936,9.27553707499467,5831.49360379,5885.12267813,MANTIENI STATO ATTUALE,BASSO
2016-03-31,412.97,417.6,412.74,416.03,416.03,415.8434,365.74774999999994,50.52597618093421,8.960141569637909,5235.54278385,5794.8269101705,MANTIENI STATO ATTUALE,BASSO
2016-04-01,416.03,417.68,414.12,417.68,417.68,416.63239999999996,366.6811,52.05558999816428,8.57441717180663,5353.92318385,5717.667814413,MANTIENI STATO ATTUALE,BASSO
2016-04-02,417.68,420.5,417.04,419.95,419.95,417.3904,367.62784999999997,54.15558192396894,8.209101659534726,3952.0183139,5682.1022902455,MANTIENI STATO ATTUALE,BASSO
2016-04-03,419.95,420.8,418.33,420.16,420.16,417.97360000000003,368.58,54.354765355984114,7.799165826710819,3266.97381272,5511.8153482615,MANTIENI STATO ATTUALE,BASSO
