variant,period,ret,dd,sharpe,ops,win,delta
baseline_2d,full,424.7512090400643,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,226.32966452227706
baseline_2d,2017,7.040617501753985,-0.35508101939187375,2.8641274835685007,4,0.75,-6.1395344703266925
baseline_2d,2018,-0.24049586441706738,-0.3240339441931914,-1.071811658500072,2,0.0,0.48545818283064635
baseline_2d,2021,1.0688051897085487,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.4923700718334716
baseline_2d,2022,0.0,0.0,,0,0.0,0.6529963898562102
baseline_2d,2024-26,0.42560440648509545,-0.2765512856558666,0.6310584051693119,12,0.25,0.0067272262445030595
baseline_2d,2025-26,-0.18013562195279853,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,0.1561471542041052
fast_if_below_sma200,full,424.7512090400643,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,226.32966452227706
fast_if_below_sma200,2017,7.040617501753985,-0.35508101939187375,2.8641274835685007,4,0.75,-6.1395344703266925
fast_if_below_sma200,2018,-0.24049586441706738,-0.3240339441931914,-1.071811658500072,2,0.0,0.48545818283064635
fast_if_below_sma200,2021,1.0688051897085487,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.4923700718334716
fast_if_below_sma200,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_below_sma200,2024-26,0.42560440648509545,-0.2765512856558666,0.6310584051693119,12,0.25,0.0067272262445030595
fast_if_below_sma200,2025-26,-0.18013562195279853,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,0.1561471542041052
fast_if_sma50_below_sma200,full,424.7512090400643,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,226.32966452227706
fast_if_sma50_below_sma200,2017,7.040617501753985,-0.35508101939187375,2.8641274835685007,4,0.75,-6.1395344703266925
fast_if_sma50_below_sma200,2018,-0.24049586441706738,-0.3240339441931914,-1.071811658500072,2,0.0,0.48545818283064635
fast_if_sma50_below_sma200,2021,1.0688051897085487,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.4923700718334716
fast_if_sma50_below_sma200,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_sma50_below_sma200,2024-26,0.42560440648509545,-0.2765512856558666,0.6310584051693119,12,0.25,0.0067272262445030595
fast_if_sma50_below_sma200,2025-26,-0.18013562195279853,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,0.1561471542041052
fast_if_rsi_lt45,full,324.12035044899596,-0.4444491383888428,1.4067741784040209,37,0.5135135135135135,125.69880593120874
fast_if_rsi_lt45,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
fast_if_rsi_lt45,2018,-0.27172219526053654,-0.35182568186605834,-1.2802468256271118,2,0.0,0.4542318519871772
fast_if_rsi_lt45,2021,1.044786214950666,-0.254060535869327,1.6313393868243573,3,0.6666666666666666,0.46835109707558886
fast_if_rsi_lt45,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_rsi_lt45,2024-26,0.4364026864685402,-0.2697037967603627,0.6459295932272031,12,0.25,0.017525506227947796
fast_if_rsi_lt45,2025-26,-0.1495804129606808,-0.17682584729432294,-0.582558884517299,6,0.16666666666666666,0.1867023631962229
fast_if_rsi_lt50,full,385.84410571528906,-0.41071043972590926,1.4469392541756585,39,0.48717948717948717,187.42256119750184
fast_if_rsi_lt50,2017,7.082285390146099,-0.3568822990237691,2.9295134165598404,4,0.75,-6.0978665819345785
fast_if_rsi_lt50,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_rsi_lt50,2021,1.0143232568736185,-0.254060535869327,1.602762038384083,3,0.6666666666666666,0.4378881389985414
fast_if_rsi_lt50,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_rsi_lt50,2024-26,0.42226821841878803,-0.2599376066374869,0.6332634184702157,13,0.23076923076923078,0.003391038178195638
fast_if_rsi_lt50,2025-26,-0.1579486989539658,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,0.17833407720293792
fast_if_mom7_neg,full,368.0408123584216,-0.41071043972590926,1.4360217797455919,38,0.5,169.61926784063436
fast_if_mom7_neg,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
fast_if_mom7_neg,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_mom7_neg,2021,1.0143232568736185,-0.254060535869327,1.602762038384083,3,0.6666666666666666,0.4378881389985414
fast_if_mom7_neg,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_mom7_neg,2024-26,0.3946926611958057,-0.2742862594530807,0.6057608160904661,13,0.23076923076923078,-0.02418451904478669
fast_if_mom7_neg,2025-26,-0.17427475724309394,-0.18199110055409595,-0.7135581998425786,7,0.14285714285714285,0.16200801891380978
fast_if_mom7_lt_minus3,full,324.1684718948769,-0.41071043972590937,1.4058882662151353,37,0.5135135135135135,125.74692737708969
fast_if_mom7_lt_minus3,2017,5.739289576725732,-0.3568822990237691,2.6859111350571654,4,0.75,-7.440862395354945
fast_if_mom7_lt_minus3,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_mom7_lt_minus3,2021,1.044786214950666,-0.254060535869327,1.6313393868243573,3,0.6666666666666666,0.46835109707558886
fast_if_mom7_lt_minus3,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_mom7_lt_minus3,2024-26,0.4125171731657431,-0.2761922252917466,0.622568546838731,12,0.25,-0.006360007074849294
fast_if_mom7_lt_minus3,2025-26,-0.16372178748645982,-0.18413946420075045,-0.6500305640048195,6,0.16666666666666666,0.1725609886704439
fast_if_daily_lt_minus5,full,370.7334157219835,-0.43111067482666043,1.4341280059487216,35,0.5142857142857142,172.31187120419625
fast_if_daily_lt_minus5,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
fast_if_daily_lt_minus5,2018,-0.22749375985545317,-0.31246194487687917,-1.0615120770418505,2,0.0,0.49846028739226056
fast_if_daily_lt_minus5,2021,1.044786214950666,-0.254060535869327,1.6313393868243573,3,0.6666666666666666,0.46835109707558886
fast_if_daily_lt_minus5,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_daily_lt_minus5,2024-26,0.4595101587588277,-0.26224741644128013,0.6648410287054315,12,0.25,0.04063297851823533
fast_if_daily_lt_minus5,2025-26,-0.145767887219457,-0.17944504879573642,-0.5402480781197865,6,0.16666666666666666,0.19051488893744672
fast_if_daily_lt_minus8,full,305.53819472635894,-0.4444491383888427,1.3896677695436916,35,0.5142857142857142,107.11665020857171
fast_if_daily_lt_minus8,2017,5.739289576725732,-0.3568822990237691,2.6859111350571654,4,0.75,-7.440862395354945
fast_if_daily_lt_minus8,2018,-0.27172219526053654,-0.35182568186605834,-1.2802468256271118,2,0.0,0.4542318519871772
fast_if_daily_lt_minus8,2021,1.0688051897085487,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.4923700718334716
fast_if_daily_lt_minus8,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_daily_lt_minus8,2024-26,0.42560440648509545,-0.2765512856558666,0.6310584051693119,12,0.25,0.0067272262445030595
fast_if_daily_lt_minus8,2025-26,-0.18013562195279853,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,0.1561471542041052
fast_if_long_weak_or_rsi45,full,324.12035044899596,-0.4444491383888428,1.4067741784040209,37,0.5135135135135135,125.69880593120874
fast_if_long_weak_or_rsi45,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
fast_if_long_weak_or_rsi45,2018,-0.27172219526053654,-0.35182568186605834,-1.2802468256271118,2,0.0,0.4542318519871772
fast_if_long_weak_or_rsi45,2021,1.044786214950666,-0.254060535869327,1.6313393868243573,3,0.6666666666666666,0.46835109707558886
fast_if_long_weak_or_rsi45,2022,0.0,0.0,,0,0.0,0.6529963898562102
fast_if_long_weak_or_rsi45,2024-26,0.4364026864685402,-0.2697037967603627,0.6459295932272031,12,0.25,0.017525506227947796
fast_if_long_weak_or_rsi45,2025-26,-0.1495804129606808,-0.17682584729432294,-0.582558884517299,6,0.16666666666666666,0.1867023631962229
fast_if_long_weak_or_mom7neg,full,368.0408123584216,-0.41071043972590926,1.4360217797455919,38,0.5,169.61926784063436
fast_if_long_weak_or_mom7neg,2017,6.614121418400425,-0.3568822990237691,2.851514880260072,4,0.75,-6.566030553680252
