variant,description,period,start,end,strategy_total_return,strategy_annualized_return,strategy_max_drawdown,strategy_sharpe,strategy_operations,strategy_win_rate,buy_hold_total_return,buy_hold_max_drawdown,delta_total_return,drawdown_improvement
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,full,2015-01-01,2026-06-23,424.7512090400643,0.6942474133486163,-0.42062881200768876,1.4495919259372758,35,0.5142857142857142,198.42154451778723,-0.8339900882218974,226.32966452227706,0.4133612762142086
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2017_bull,2017-01-01,2017-12-31,7.040617501753985,7.086795517493314,-0.35508101939187375,2.8641274835685007,4,0.75,13.180151972080678,-0.3550810193918734,-6.1395344703266925,-3.3306690738754696e-16
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2018_bear,2018-01-01,2018-12-31,-0.24049586441706738,-0.24106963555095084,-0.3240339441931914,-1.071811658500072,2,0.0,-0.7259540472477137,-0.8153271113852912,0.48545818283064635,0.4912931671920998
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2021_top,2021-01-01,2021-12-31,1.0688051897085487,1.0729410817579335,-0.254060535869327,1.6528825156253166,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.4923700718334716,0.2765579682290905
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2024_2026_recent,2024-01-01,2026-06-23,0.42560440648509545,0.15392826546035776,-0.2765512856558666,0.6310584051693119,12,0.25,0.4188771802405924,-0.5120947570953596,0.0067272262445030595,0.23554347143949295
baseline_sma50_2d,Regola attuale: Close sotto SMA50 per 2 giorni consecutivi,2025_2026_recent,2025-01-01,2026-06-23,-0.18013562195279853,-0.12606476448581316,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.1561471542041052,0.3189895752502865
sma50_1d,Vende alla prima chiusura sotto SMA50,full,2015-01-01,2026-06-23,324.0689917807287,0.6548987674853441,-0.41071043972590904,1.4124700951515543,42,0.4523809523809524,198.42154451778723,-0.8339900882218974,125.64744726294148,0.4232796484959883
sma50_1d,Vende alla prima chiusura sotto SMA50,2017_bull,2017-01-01,2017-12-31,6.277915106884207,6.3177090238426405,-0.3568822990237691,2.8092070246644014,5,0.6,13.180151972080678,-0.3550810193918734,-6.90223686519647,-0.0018012796318956914
sma50_1d,Vende alla prima chiusura sotto SMA50,2018_bear,2018-01-01,2018-12-31,-0.22749375985545317,-0.22804135578135432,-0.31246194487687917,-1.0615120770418505,2,0.0,-0.7259540472477137,-0.8153271113852912,0.49846028739226056,0.5028651665084121
sma50_1d,Vende alla prima chiusura sotto SMA50,2021_top,2021-01-01,2021-12-31,0.9318625122667905,0.9353604600152687,-0.254060535869327,1.5236556771095742,4,0.5,0.5764351178750771,-0.5306185040984175,0.35542739439171345,0.2765579682290905
sma50_1d,Vende alla prima chiusura sotto SMA50,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_1d,Vende alla prima chiusura sotto SMA50,2024_2026_recent,2024-01-01,2026-06-23,0.40351013259979096,0.14667384804313865,-0.2599376066374869,0.6149100240763912,14,0.21428571428571427,0.4188771802405924,-0.5120947570953596,-0.015367047640801434,0.2521571504578727
sma50_1d,Vende alla prima chiusura sotto SMA50,2025_2026_recent,2025-01-01,2026-06-23,-0.1579486989539658,-0.11008856644887022,-0.16814281432080125,-0.635955162111075,7,0.14285714285714285,-0.3362827761569037,-0.5120947570953596,0.17833407720293792,0.3439519427745583
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,full,2015-01-01,2026-06-23,367.3254528601194,0.6730028433705715,-0.4085374031299268,1.4081518078113298,33,0.5454545454545454,198.42154451778723,-0.8339900882218974,168.9039083423322,0.42545268509197054
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2017_bull,2017-01-01,2017-12-31,7.605768133763421,7.656807176579443,-0.35508101939187375,2.9381656206840807,4,0.75,13.180151972080678,-0.3550810193918734,-5.574383838317257,-3.3306690738754696e-16
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2018_bear,2018-01-01,2018-12-31,-0.22464510200772558,-0.22518688234606976,-0.30992661173061054,-0.9735492164837461,2,0.0,-0.7259540472477137,-0.8153271113852912,0.5013089452399881,0.5054004996546807
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2021_top,2021-01-01,2021-12-31,0.8666288519728196,0.8698322201238591,-0.254060535869327,1.4258598058099867,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.2901937340977425,0.2765579682290905
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2024_2026_recent,2024-01-01,2026-06-23,0.22693834296784732,0.08608336865586308,-0.32549680882700416,0.4229992918915989,11,0.2727272727272727,0.4188771802405924,-0.5120947570953596,-0.19193883727274508,0.1865979482683554
sma50_3d,Vende dopo 3 chiusure consecutive sotto SMA50,2025_2026_recent,2025-01-01,2026-06-23,-0.23455574632776766,-0.165853223564579,-0.23455574632776766,-0.9154293006893172,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.10172702982913606,0.2775390107675919
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,full,2015-01-01,2026-06-23,309.84499676367403,0.6484626139080039,-0.42062881200768865,1.3922003529034612,36,0.5277777777777778,198.42154451778723,-0.8339900882218974,111.4234522458868,0.4133612762142087
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2017_bull,2017-01-01,2017-12-31,5.739289576725732,5.774707203295003,-0.3568822990237691,2.6859111350571654,4,0.75,13.180151972080678,-0.3550810193918734,-7.440862395354945,-0.0018012796318956914
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2018_bear,2018-01-01,2018-12-31,-0.24049586441706738,-0.24106963555095084,-0.3240339441931914,-1.071811658500072,2,0.0,-0.7259540472477137,-0.8153271113852912,0.48545818283064635,0.4912931671920998
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2021_top,2021-01-01,2021-12-31,1.0268933766773398,1.0308312872259662,-0.254060535869327,1.614183635812048,3,0.6666666666666666,0.5764351178750771,-0.5306185040984175,0.45045825880226276,0.2765579682290905
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2022_bear,2022-01-01,2022-12-31,0.0,0.0,0.0,,0,0.0,-0.6529963898562102,-0.6689381539248928,0.6529963898562102,0.6689381539248928
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2024_2026_recent,2024-01-01,2026-06-23,0.42956450540354507,0.15522142164547992,-0.2765512856558664,0.634860653190605,12,0.25,0.4188771802405924,-0.5120947570953596,0.010687325162952677,0.23554347143949317
sma50_2d_or_rsi40,Regola attuale piu uscita se Close sotto SMA50 e RSI < 40,2025_2026_recent,2025-01-01,2026-06-23,-0.18013562195279853,-0.12606476448581316,-0.19310518184507308,-0.6952511732038814,6,0.16666666666666666,-0.3362827761569037,-0.5120947570953596,0.1561471542041052,0.3189895752502865
sma50_2d_or_rsi50,Regola attuale piu uscita se Close sotto SMA50 e RSI < 50,full,2015-01-01,2026-06-23,385.84410571528906,0.6801656282855653,-0.41071043972590926,1.4469392541756585,39,0.48717948717948717,198.42154451778723,-0.8339900882218974,187.42256119750184,0.4232796484959881
